,»óÇ°±º,»óÇ°±º2,»ý¼ºÀÏÀÚ,´ëÇ¥»óÇ°ÄÚµå,»óÇ°¸í,»óÇ°ÄÚµå,ÀÌÀü»óÇ°ÄÚµå,º¯°æ»óÇ°ÄÚµå,½Ç¸°´õ NO,À¯»ç ½Ç¸°´õ¹øÈ£,ÃÖÁ¾»ý»êÁö,ÃÖÁ¾»ý»êÁö¸í,Lab No,B/P Type,B/P¹«°Ô,¿øÁÖ,ÆÞ,C/L,Gloss,Surface,Anti-Tape,1Â÷»ý»êÁö,1Â÷»ý»êÁö¸í,ºñ°í,Spec-Out,Spec-OutÀÏÀÚ,±¸ºÐ
90,[1] ¸ð¾çÁö,,,,Royal Cherry,14-21001-110,,,21001,,,,,,,,,,,,,,,,,,·±´×
91,[1] ¸ð¾çÁö,,,,Oxford Cherry,14-21002-115,,,21002,,,,,,,,,,,,,,,,,,·±´×
92,[1] ¸ð¾çÁö,,,,Oxford Cherry,14-21002-187,,,21002,,,,,,,,,,,,,,,,,,·±´×
93,[1] ¸ð¾çÁö,,,,Oxford Cherry,14-21002-191,,,21002,,,,,,,,,,,,,,,,,,·±´×
94,[1] ¸ð¾çÁö,,,,Oxford Cherry,14-21002-214,,,21002,,,,,,,,,,,,,,,,,,·±´×
95,[1] ¸ð¾çÁö,,,,Cherry Nashville,14-21006-104,,,21006,,,,,,,,,,,,,,,,,,·±´×
96,[1] ¸ð¾çÁö,,,,Cherry Nashville,14-21006-105,,,21006,,,,,,,,,,,,,,,,,,·±´×
97,[1] ¸ð¾çÁö,,,,Cherry Tennessee,14-21013-106,,,21013,,,,,,,,,,,,,,,,,,·±´×
98,[1] ¸ð¾çÁö,,,,Cherry Tennessee,14-21013-109,,,21013,,,,,,,,,,,,,,,,,,·±´×
99,[1] ¸ð¾çÁö,,,,Black Cherry,14-21016-003,,,21016,,,,,,,,,,,,,,,,,,·±´×
100,[1] ¸ð¾çÁö,,,,Alabama Cherry,14-21019-003,,,21019,,,,,,,,,,,,,,,,,,·±´×
101,[1] ¸ð¾çÁö,,,,Alabama Cherry,14-21019-111,,,21019,,,,,,,,,,,,,,,,,,·±´×
102,[1] ¸ð¾çÁö,,,,Alabama Cherry,14-21019-113,,,21019,,,,,,,,,,,,,,,,,,·±´×
103,[1] ¸ð¾çÁö,,,,Alabama Cherry,14-21019-117,,,21019,,,,,,,,,,,,,,,,,,·±´×
104,[1] ¸ð¾çÁö,,,,Alabama Cherry,14-21019-123,,,21019,,,,,,,,,,,,,,,,,,·±´×
105,[1] ¸ð¾çÁö,,,,Alabama Cherry,14-21019-138,,,21019,,,,,,,,,,,,,,,,,,·±´×
106,[1] ¸ð¾çÁö,,,,Alabama Cherry,14-21019-141,,,21019,,,,,,,,,,,,,,,,,,·±´×
107,[1] ¸ð¾çÁö,,,,Antique Cherry,14-21048-102,,,21048,,,,,,,,,,,,,,,,,,·±´×
108,[1] ¸ð¾çÁö,,,,Country Cherry II,14-21735-100,,,21735,,,,,,,,,,,,,,,,Yes,20150325,·±´×
109,[1] ¸ð¾çÁö,,,,Montego Pear,14-22014-001,,,22014,,,,,,,,,,,,,,,,,,·±´×
110,[1] ¸ð¾çÁö,,,,Pero,14-22082-001,,,22082,,,,,,,,,,,,,,,,Yes,20230208,·±´×
111,[1] ¸ð¾çÁö,,,,Pero Tavolato,14-22083-001,,,22083,,,,,,,,,,,,,,,,,,·±´×
112,[1] ¸ð¾çÁö,,,,Zebrawood,14-23004-002,,,23004,,,,,,,,,,,,,,,,,,·±´×
113,[1] ¸ð¾çÁö,,,,Zebrawood,14-23004-003,,,23004,,,,,,,,,,,,,,,,,,·±´×
114,[1] ¸ð¾çÁö,,,,Planked Natural Merbau,14-23010-101,,,23010,,,,,,,,,,,,,,,,,,·±´×
115,[1] ¸ð¾çÁö,,,,Bangui Wenge,14-23018-107,,,23018,,,,,,,,,,,,,,,,,,·±´×
116,[1] ¸ð¾çÁö,,,,Zebrano,14-23023-003,,,23023,,,,,,,,,,,,,,,,,,·±´×
117,[1] ¸ð¾çÁö,,,,Zebrano,14-23023-106,,,23023,,,,,,,,,,,,,,,,,,·±´×
118,[1] ¸ð¾çÁö,,,,Zebrano,14-23023-126,,,23023,,,,,,,,,,,,,,,,,,·±´×
119,[1] ¸ð¾çÁö,,,,Zebrano,14-23023-145,,,23023,,,,,,,,,,,,,,,,,,·±´×
120,[1] ¸ð¾çÁö,,,,Tanganica,14-23025-103,,,23025,,,,,,,,,,,,,,,,,,·±´×
121,[1] ¸ð¾çÁö,,,,Merbau 2-strip,14-23031-001,,,23031,,,,,,,,,,,,,,,,,,·±´×
122,[1] ¸ð¾çÁö,,,,Acajou,14-23083-110,,,23083,,,,,,,,,,,,,,,,,,·±´×
123,[1] ¸ð¾çÁö,,,,Select Mahogany 2-Board,14-23745-100,,,23745,,,,,,,,,,,,,,,,,,·±´×
124,[1] ¸ð¾çÁö,,,,Brasil,14-24003-004,,,24003,,,,,,,,,,,,,,,,,,·±´×
125,[1] ¸ð¾çÁö,,,,Vintage Teak,14-24006-108,,,24006,,,,,,,,,,,,,,,,,,·±´×
126,[1] ¸ð¾çÁö,,,,Vintage Teak,14-24006-109,,,24006,,,,,,,,,,,,,,,,,,·±´×
127,[1] ¸ð¾çÁö,,,,Vintage Teak,14-24006-111,,,24006,,,,,,,,,,,,,,,,,,·±´×
128,[1] ¸ð¾çÁö,,,,Samoa Teak,14-24007-114,,,24007,,,,,,,,,,,,,,,,,,·±´×
