정산일자,,L PRT,사업장,창고,품목구분,상품군,상품군2,품번,품명,펄,폭/규격,Roll No / Lot No,이전품번,OPEN,location,단위,사용,재고수량,PO 번호,생산지,INV#,,Year
20260119 ,57,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1260*0.2,SJ_R000022,,N,[재고]   ,m,사용,230,, ,,,
20260119 ,58,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1260*0.2,SJ_R000032,,N,[재고]   ,m,사용,200,, ,,,
20260119 ,59,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1260*0.2,SJ_R000038,,N,[재고]   ,m,사용,235,, ,,,
20260119 ,60,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1260*0.2,SJ_R000039,,N,[재고]   ,m,사용,125,, ,,,
20260119 ,61,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1260*0.2,SJ_R000041,,N,[재고]   ,m,사용,200,, ,,,
20260119 ,62,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,1260*0.2,SJ_R000045,,N,[재고]   ,m,사용,250,, ,,,
20260119 ,63,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000012,,N,[재고]   ,m,사용,180,, ,,,
20260119 ,64,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000030,,N,[재고]   ,m,사용,172,, ,,,
20260119 ,65,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000036,,N,[재고]   ,m,사용,175,, ,,,
20260119 ,66,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000043,,N,[재고]   ,m,사용,200,, ,,,
20260119 ,67,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000004,,N,[재고]   ,m,사용,150,, ,,,
20260119 ,68,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000006,,N,[재고]   ,m,사용,200,, ,,,
20260119 ,69,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000017,,N,[재고]   ,m,사용,130,, ,,,
20260119 ,70,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000037,,N,[재고]   ,m,사용,180,, ,,,
20260119 ,71,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000011,,N,[재고]   ,m,사용,225,, ,,,
20260119 ,72,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000002,,N,[재고]   ,m,사용,50,, ,,,
20260119 ,73,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000023,,N,[재고]   ,m,사용,190,, ,,,
20260119 ,74,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000024,,N,[재고]   ,m,사용,130,, ,,,
20260119 ,75,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000025,,N,[재고]   ,m,사용,84,, ,,,
20260119 ,76,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000026,,N,[재고]   ,m,사용,90,, ,,,
20260119 ,77,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000028,,N,[재고]   ,m,사용,200,, ,,,
20260119 ,78,N,본사,본사창고,[4] 원자재,[D] PP (opp),,SJ누적,SJ누적,,0.2*1260,SJ_R000042,,N,[재고]   ,m,사용,150,, ,,,
20260119 ,79,N,본사,본사창고,[7] 상품,[1] 모양지,,14-01016-120,Cordoba Pine,NO,1260,2714386,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,950",SJWP-91743,SE,5134075,,
20260119 ,80,N,본사,본사창고,[7] 상품,[1] 모양지,,14-01016-120,Cordoba Pine,NO,1260,2714394,,Y,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,399",SJWP-91743,SE,5134075,,
20260119 ,81,N,본사,본사창고,[7] 상품,[1] 모양지,,14-01016-120,Cordoba Pine,NO,1260,2714472,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,950",SJWP-91743,SE,5134075,,
20260119 ,82,N,본사,본사창고,[7] 상품,[1] 모양지,,14-01016-120,Cordoba Pine,NO,1260,2714474,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,950",SJWP-91743,SE,5134075,,
20260119 ,83,N,본사,본사창고,[7] 상품,[1] 모양지,,14-01016-120,Cordoba Pine,NO,1260,2714475,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,950",SJWP-91743,SE,5134075,,
20260119 ,84,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01024-001,Laricio Pine Quer,X,1260,4064406,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"3,500",P00001933,SRL,5169671,,
20260119 ,85,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01024-001,Laricio Pine Quer,X,1260,4064452,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"3,550",P00001933,SRL,5169671,,
20260119 ,86,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01024-001,Laricio Pine Quer,X,1260,4064464,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,000",P00001933,SRL,5169671,,
20260119 ,87,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01024-001,Laricio Pine Quer,X,1260,4064485,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,050",P00001933,SRL,5169671,,
