파일명,파일ID,카카오톡_전송용_URL,추출된_품번
14-50056-001.jpg,1CJ_CIPBLbtq9N9bzEyOKxxKr9Ibz7pyB,https://drive.google.com/uc?export=view&id=1CJ_CIPBLbtq9N9bzEyOKxxKr9Ibz7pyB,14-50056-001
14-26903-005.jpg,1EPDkLkHl6nfsADluviAL7jGmp2sMjAp5,https://drive.google.com/uc?export=view&id=1EPDkLkHl6nfsADluviAL7jGmp2sMjAp5,14-26903-005
14-26903-003.jpg,1bpfUij_pw1ni32Gm5kmpTM00-8UFb6cN,https://drive.google.com/uc?export=view&id=1bpfUij_pw1ni32Gm5kmpTM00-8UFb6cN,14-26903-003
14-26903-002.jpg,11u-hMRxVuDjStCliRWynQhoT-5zQRj0N,https://drive.google.com/uc?export=view&id=11u-hMRxVuDjStCliRWynQhoT-5zQRj0N,14-26903-002
14-26903-001.jpg,1LHaT-6J3p1jp_TNxciPTwBTx8tltFN-z,https://drive.google.com/uc?export=view&id=1LHaT-6J3p1jp_TNxciPTwBTx8tltFN-z,14-26903-001
14-26670-004.jpg,1yXFFiByx6wHSDT4KhL-SPxIIgKApvjum,https://drive.google.com/uc?export=view&id=1yXFFiByx6wHSDT4KhL-SPxIIgKApvjum,14-26670-004
14-26670-003.jpg,1S2PmYnteS1LpfVkK85YIQX7t8VKR4rCh,https://drive.google.com/uc?export=view&id=1S2PmYnteS1LpfVkK85YIQX7t8VKR4rCh,14-26670-003
14-26670-002.jpg,1KAOFjUS6pUmzu8oG-DuwWjAF_lbO25od,https://drive.google.com/uc?export=view&id=1KAOFjUS6pUmzu8oG-DuwWjAF_lbO25od,14-26670-002
14-26670-001.jpg,1RYDbbbK15oGiz9ftjABKtmTAUL_fxgNp,https://drive.google.com/uc?export=view&id=1RYDbbbK15oGiz9ftjABKtmTAUL_fxgNp,14-26670-001
14-26603-004.jpg,11RwvBsPd3TVyIjxsds793Oat3jgPLKxN,https://drive.google.com/uc?export=view&id=11RwvBsPd3TVyIjxsds793Oat3jgPLKxN,14-26603-004
14-26603-003.jpg,1Jsi9kZc99J7dHko0GJbQ7OoIIIO2DEPO,https://drive.google.com/uc?export=view&id=1Jsi9kZc99J7dHko0GJbQ7OoIIIO2DEPO,14-26603-003
14-26603-002.jpg,1EISE7yfHFE4BLhVi4o_darGC73tyESA2,https://drive.google.com/uc?export=view&id=1EISE7yfHFE4BLhVi4o_darGC73tyESA2,14-26603-002
14-26603-001.jpg,1yrC1nzdr1bi9VDvf9jXVhIRTyuJtgVHV,https://drive.google.com/uc?export=view&id=1yrC1nzdr1bi9VDvf9jXVhIRTyuJtgVHV,14-26603-001
14-26099-010.jpg,1ZnTuiTvHcRMb-YIuYEh8w9wHOmFReKcn,https://drive.google.com/uc?export=view&id=1ZnTuiTvHcRMb-YIuYEh8w9wHOmFReKcn,14-26099-010
14-26099-004.jpg,11Ei1YFIrhZzjfLGTsjo2K2DSnMGLUqoS,https://drive.google.com/uc?export=view&id=11Ei1YFIrhZzjfLGTsjo2K2DSnMGLUqoS,14-26099-004
14-26099-003.jpg,1Yub4e86WxPV2YdRq34oYwaYpKCc8EN5q,https://drive.google.com/uc?export=view&id=1Yub4e86WxPV2YdRq34oYwaYpKCc8EN5q,14-26099-003
14-26099-002.jpg,1kThSZ6GG8QU59f5amFTImR_DfHNOI1mG,https://drive.google.com/uc?export=view&id=1kThSZ6GG8QU59f5amFTImR_DfHNOI1mG,14-26099-002
14-26099-001.jpg,1V-ApFyE4c_puXca4Hv94MJnedtgt7ZGL,https://drive.google.com/uc?export=view&id=1V-ApFyE4c_puXca4Hv94MJnedtgt7ZGL,14-26099-001
14-26098-004.jpg,1m-Byv_B2Y7jLIG2WTuzNd2PGCf8P_tAk,https://drive.google.com/uc?export=view&id=1m-Byv_B2Y7jLIG2WTuzNd2PGCf8P_tAk,14-26098-004
14-26098-003.jpg,1xOaEu_-rD3BpWdlcWwDzCb5bsOv0-m29,https://drive.google.com/uc?export=view&id=1xOaEu_-rD3BpWdlcWwDzCb5bsOv0-m29,14-26098-003
14-26098-002.jpg,1TEBWHGI8ytpTzQNWT6__izKQhqAsFV_c,https://drive.google.com/uc?export=view&id=1TEBWHGI8ytpTzQNWT6__izKQhqAsFV_c,14-26098-002
14-26098-001.jpg,1vcio2CVtPFJ_VCEVSYjPttdlgactSimR,https://drive.google.com/uc?export=view&id=1vcio2CVtPFJ_VCEVSYjPttdlgactSimR,14-26098-001
14-26097-004.jpg,1QyptYxJ8mwv7MpHy1jvFLYsGMr36k3X6,https://drive.google.com/uc?export=view&id=1QyptYxJ8mwv7MpHy1jvFLYsGMr36k3X6,14-26097-004
14-26097-003.jpg,1jS26cnNgYokVvElRp16LhU9lSJL2H7c4,https://drive.google.com/uc?export=view&id=1jS26cnNgYokVvElRp16LhU9lSJL2H7c4,14-26097-003
14-26097-002.jpg,1bDkxp3hle7K_A3dXfLxlni-iJ-vZxlw4,https://drive.google.com/uc?export=view&id=1bDkxp3hle7K_A3dXfLxlni-iJ-vZxlw4,14-26097-002
14-26097-001.jpg,1ICo8_WIVCt9XnJrzSHjfNX-Y7ePLQNHh,https://drive.google.com/uc?export=view&id=1ICo8_WIVCt9XnJrzSHjfNX-Y7ePLQNHh,14-26097-001
14-26096-004.jpg,1_XTglnyOD0Cz2y0PS6D1WSnKu-Ex48y6,https://drive.google.com/uc?export=view&id=1_XTglnyOD0Cz2y0PS6D1WSnKu-Ex48y6,14-26096-004
14-26096-003.jpg,1yJQXD4M891lG4zvr5FJ60rGBiC8sKndx,https://drive.google.com/uc?export=view&id=1yJQXD4M891lG4zvr5FJ60rGBiC8sKndx,14-26096-003
14-26096-002.jpg,1LfCNekJEOZnDgPVZAXP5a5X5b3XtC2d-,https://drive.google.com/uc?export=view&id=1LfCNekJEOZnDgPVZAXP5a5X5b3XtC2d-,14-26096-002
14-26096-001.jpg,1oa71CeRzMz4ia-ImijVu-8eKuU-SUyYh,https://drive.google.com/uc?export=view&id=1oa71CeRzMz4ia-ImijVu-8eKuU-SUyYh,14-26096-001
14-26095-004.jpg,1CUL5_gGWbuDmSpJAUanqrWp68w1BxC6r,https://drive.google.com/uc?export=view&id=1CUL5_gGWbuDmSpJAUanqrWp68w1BxC6r,14-26095-004
14-26095-003.jpg,1cgy9o4rBn0PCZNCBvXkoWpFhHrc-5nGE,https://drive.google.com/uc?export=view&id=1cgy9o4rBn0PCZNCBvXkoWpFhHrc-5nGE,14-26095-003
